제목,장르,rating,가격현황,할인률,본래가격,출시일,시점,구매여부
inscryption,"로그라이크, 카드",4.8,e8800,60.0,22000,2021.0,25봄할인,다음 기회에
디트로이트 비컴 휴먼,"3D ARPG, 어드벤쳐",4.9,13140,70.0,epic39900 steam 43800,20200618.0,25봄할인,다음 기회에
갓오브워 dlc 라그나로크,3D ARPG,4.7,50240,20.0,62800,20240920.0,24겨울할인,다음 기회에
사이버 펑크 번들 원본+dlc 팬텀 리버티,3D ARPG,"3.5,4.6",53010,47.0,,20230926.0,24겨울할인,다음 기회에
Hi-Fi Rush,리듬,4.8,,,34200,20230125.0,,다음 기회에
stray,어드벤쳐,4.8,21000,40.0,35000,20220720.0,25봄할인,다음 기회에
플레이그 테일 레퀴엠,어드벤쳐,4.7,20300,65.0,58000,20221018.0,25봄할인,다음 기회에
인디아나 존스: 그레이트 서클,어드벤쳐,4.6,,0.0,79990,20241209.0,,다음 기회에
"바이오 하자드 번들 RE 2,3,4","3D ARPG, 공포","4.3,4.7,3.8,s5.0",54890,45.0,,20230324.0,24겨울할인,다음 기회에
라스트 오브 어스 파트 1,어드벤쳐,4.5,31400,50.0,62800,20230328.0,24겨울할인,다음 기회에
검은 신화 : 오공,3D ARPG,4.4,64800,0.0,64800,20240820.0,24겨울할인,다음 기회에
호라이즌 포비든 웨스트,3D ARPG,4.4,42080,33.0,62800,20240321.0,24겨울할인,다음 기회에
p의 거짓,소울라이크,4.2,38880,40.0,64800,20230918.0,24겨울할인,다음 기회에
킹덤 컴: 딜리버런스 2,"3D ARPG, 시뮬레이션",4.2,60800,,60800,,,다음 기회에
팩토리오 : 스페이스 에이지 dlc,시뮬레이션,s4.5,40000,0.0,40000,20241021.0,24겨울할인,다음 기회에
disco elysium,"추리, 오픈월드",4.9,,,41000,2019.0,,다음 기회에
디스아너드,잠입 액션,4.9,,,11530,2012.0,,다음 기회에
디스아너드 : 방관자의 죽음,잠입 액션,4.9,,,33500,2017.0,,다음 기회에
데이브 더 다이버,경영,4.6,14400,40.0,24000,2023.0,,다음 기회에
디스아너드 2,잠입 액션,4.5,,,33500,2016.0,,다음 기회에
"디비니티 오리지날 신 1,2 번들",TRPG,"3.9,4.4",14350,85.0,,20170915.0,24겨울 할인,다음 기회에
balatro,"카드, 로그라이크",s5.0,13360,10.0,14850,2024.0,,다음 기회에
Pentiment,"어드벤쳐, 추리",s5.0,,,,2022.0,,다음 기회에
스텔라 블레이드,ARPG,4.6,62800,,,,,다음 기회에
borderland4,슈팅 액션,,,,,2025.0,,보류
sleeping dogs,"오픈월드, 액션",4.8,,,,2012.0,,보류
satisfactory,"오픈월드, 퍼즐",4.8,,,,2019.0,,보류
bomb rush cyberfunk,"액션, 리듬",4.8,,,,2023.0,,보류
ori and will of wisp,슈팅 액션,4.8,,,,2020.0,,보류
mass effect 2,어드벤쳐,4.8,,,,2010.0,,too old
리틀 나이트메어 2,공포,4.8,,,,20210211.0,,보류
마피아 2,오픈월드,4.8,,,,20100823.0,,보류
마블스 스파이더 맨,3D ARPG,4.7,,,,20220812.0,,보류
mass effect 3 legendary edition ,어드벤쳐,4.7,,,,20210430.0,,보류
hollow knight,로그라이크,4.7,,,,20170224.0,,보류
dead space,"3D ARPG, 슈팅 액션",4.7,,,,2023.0,,보류
subnautica,"생존, 오픈월드",4.7,,,,20141216.0,,보류
사일런트 힐 2 리메이크,공포,4.7,,,87700,20241008.0,,보류
스텔라 블레이드,소울라이크,4.6,,,,20240426.0,,보류
age of mythology : retold,RTS,4.6,,,,20240712.0,,보류
헬블레이드 ,어드벤쳐,4.6,,,,2017.0,,보류
에이지 오브 엠파이어 2 데피니티브,RTS,4.6,,,,2019.0,,보류
메탈 기어 솔리드 5,잠입 액션,4.6,,,,2015.0,,보류
배트맨 아캄 나이트 ,3D ARPG,4.6,,,,2011.0,,too old
히트맨 3,잠입 액션,4.4,,,,2021.0,,보류
warhammer 40k space marine 2,3D ARPG,4.2,,,,2024.0,,보류
sons of the forest,"오픈월드, 생존",4.1,,,,20230223.0,,보류
아모드 코어 6,액션,4.1,,,,20230825.0,,보류
스트리트 파이터 6,대전 액션,3.5,,,,2023.0,,보류
마피아 3,오픈월드,3.9,,,,20161007.0,,보류
페르시아 왕자 lost crown,3D ARPG,4.4,,,,2024.0,,보류
마피아 definitive edition,오픈월드,4.4,,,,20200925.0,,보류
v rising,ARPG,4.4,,,,20240611.0,,보류
앨런 웨이크 2,공포,4.1,,,,20231027.0,,too old
앨런 웨이크 1,공포,4.4,,,,20100514.0,,보류
마블스 스파이더 맨 2,액션,4.3,,,,20231020.0,,보류
헬블레이드 2,어드벤쳐,4.2,,,,2024.0,,보류
마피아 4,오픈월드,미출시,,,,,,보류
더 위처 4,"3D ARPG, 오픈월드",미출시,,,,,,보류
GTA6,오픈월드,미출시,,,,,,보류
Tactical Breach Wizards,퍼즐,s5.0,,,,2024.0,,보류
the talos principle 2,퍼즐,s5.0,,,,2023.0,,보류
power wash simulator,시뮬레이션,s5.0,,,,2022.0,,보류
teardown,"오픈월드, 샌드박스",s5.0,,,,2022.0,,보류
하데스2,로그라이크,얼리억세스,,,,,,보류
크루세이더 킹 3,시뮬레이션,s4.5,,,,2020.0,,노고
snowrunner,시뮬레이션,s4.5,,,,2020.0,,노고
Forza Horizon 5,스포츠,4.3,,,,2021.0,,노고
페르소나 5 로얄,JRPG,4.8,,,,20191013.0,,노고
고스트 오브 쓰시마,3D ARPG,4.8,,,,2020.0,,노고
몬스터 헌터 와일즈,3D ARPG,3.7,,,,2025.0,,노고
엘든링 dlc 밤의 통치자,소울라이크,미출시,,,,,,노고
데드셀 추가 dlc 리턴투 캐슬배니아,슈팅 액션,s4.5,7700,30.0,10200,20230307.0,24겨울 할인,노고
엘든링 dlc 황금나무의 그림자,소울라이크,4,49800,0.0,49800,20240621.0,24겨울 할인,노고
스타필드,"3D ARPG, 어드벤쳐",3.1,47990,40.0,79990,20230906.0,24겨울 할인,노고
어새신 크리드 미라지,3D ARPG,2.8,21920,60.0,54800,20241018.0,24겨울 할인,노고
어새신 크리드 섀도우 ,3D ARPG,2.8,,,,,,노고
발더스 게이트3,TRPG,,52800,20.0,66000,20230804.0,24겨울 할인,구매완료
몬헌 번들 월드+ 라이즈,3D ARPG,,17010,72.0,,20220113.0,24겨울 할인,구매완료
세키로,소울라이크,,37500,50.0,75000,20190322.0,24겨울 할인,구매완료
,,,,,,,,
구매완료,구매 완료,,,,,,,
확정,이번 할인 기간에 사기.,,,,,,,
다음 기회에,찜해두고 다음에 더 싸질 때를 기다리기.,,,,,,,
보류,싸져도 사지 말고 보류하기. 게임이 당장 필요할때 찜하거나 또 1만원 언저리로 싸지면 생각 해보기.,,,,,,,
노고,"무슨일이 있어도 사지 않기. 무료나 몇천원 이하로 똥값 될 때, 또 게임이 당장 필요할 때 아니면 거들떠 보지 않기. ",,,,,,,
